"title","imdb_id","poster_url"
"Puss in Boots: The Last Wish","tt3915174","http://image.tmdb.org/t/p/w500/1NqwE6LP9IEdOZ57NCT51ftHtWT.jpg"
"Avatar: The Way of Water","tt1630029","http://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg"
"Devotion","tt7693316","http://image.tmdb.org/t/p/w500/mOuU9z8nrBaEkS5D6z8IPTxIZC9.jpg"
"Glass Onion: A Knives Out Mystery","tt11564570","http://image.tmdb.org/t/p/w500/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg"
"Strange World","tt10298840","http://image.tmdb.org/t/p/w500/mPywkW1dfDer6GxxTvjwOTsAVud.jpg"
"Black Panther: Wakanda Forever","tt9114286","http://image.tmdb.org/t/p/w500/sv1xJUazXeYqALzczSZ3O6nkH75.jpg"
"The Fabelmans","tt14208870","http://image.tmdb.org/t/p/w500/xId9zoiv5WPQOuxqykUDrlpmrUz.jpg"
"Armageddon Time","tt10343028","http://image.tmdb.org/t/p/w500/1ResCMsWd0w4o8SJEJIZrQxbRof.jpg"
"Black Adam","tt6443346","http://image.tmdb.org/t/p/w500/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg"
"Halloween Ends","tt10665342","http://image.tmdb.org/t/p/w500/yoAKHpveZ4Z1wwwXoD31dXj3H8s.jpg"
"Barbarian","tt15791034","http://image.tmdb.org/t/p/w500/idT5mnqPcJgSkvpDX7pJffBzdVH.jpg"
"Brahmāstra Part One: Shiva","tt6277462","http://image.tmdb.org/t/p/w500/x61qdvHIsr9U53FwoLVDQqAGur0.jpg"
